iter	Logloss
0	0.4632800244
1	0.3798525987
2	0.3457829714
3	0.3116259799
4	0.2746685227
5	0.2534942132
6	0.2350548236
7	0.2107136422
8	0.1945110432
9	0.186147304
10	0.1851043785
11	0.1740230191
12	0.1566234316
13	0.1465065211
14	0.1359875655
15	0.1306372856
16	0.1301285256
17	0.123699928
18	0.1180820831
19	0.1106630891
20	0.1102301339
21	0.104398258
22	0.1041247466
23	0.103819519
24	0.09928354781
25	0.09585038917
26	0.09567003116
27	0.09104699781
28	0.08547576808
29	0.08046236952
30	0.07806755636
31	0.07301585984
32	0.06906108986
33	0.06844163175
34	0.06639439964
35	0.06338744621
36	0.06329028404
37	0.06312435112
38	0.06213948122
39	0.06197848304
40	0.06188267763
41	0.06004913013
42	0.05993436372
43	0.05983431836
44	0.05972809696
45	0.05962693187
46	0.0582210622
47	0.05659933508
48	0.05528658409
49	0.05502325849
